"gene","covid_healthy_log2FC","covid_healthy_padj","covid_virus_log2FC","covid_virus_padj","direction"
"SNORA13",1.35689669229541,0.0225861705899457,1.78625018535818,1.15637018461139e-09,"Higher in COVID-19"
"SNORA6",1.21752216749829,0.0228102437070544,1.65834281943304,1.81792830975353e-09,"Higher in COVID-19"
"ACTA2",4.60486879748169,4.85534652565437e-08,1.75453619500929,2.0827057722558e-09,"Higher in COVID-19"
"SEPT10",2.22956388435105,0.000164775894878162,1.49758743690427,2.1250951793909e-09,"Higher in COVID-19"
"SNORA81",2.89312682662122,0.00184654137566877,2.49542397116189,2.3251886922822e-09,"Higher in COVID-19"
"SNORA77",-1.14231901958374,0.0477607465531307,1.78278873580259,2.33136473480234e-09,"Lower in COVID-19"
"SCARNA5",1.18517246713722,0.00206825828739752,1.24329792327783,2.62921896097386e-09,"Higher in COVID-19"
"PIGQ",3.0232005764983,0.00125758146250957,1.98436299383727,2.91055937614374e-09,"Higher in COVID-19"
"SCGB1B2P",3.1022978609727,0.00112529161210916,2.14911465283677,3.00596335962899e-09,"Higher in COVID-19"
"SCARNA10",1.58979416988595,0.000317413436930673,1.28567489149889,5.28421627629466e-09,"Higher in COVID-19"
"SNORD116_15",2.14008127734027,0.00281190486677841,2.08463953974204,5.63501643991761e-09,"Higher in COVID-19"
"CCL2",4.04564557173919,0.00249517652560736,-2.50914576490538,8.54432425222891e-09,"Higher in COVID-19"
"GABRG3",2.42220505550431,0.0422124329861451,-2.84078177512939,9.29719015379363e-09,"Higher in COVID-19"
"SNORA80B",-1.55555706971982,0.0040027470037602,1.48001325643366,1.0680209918831e-08,"Lower in COVID-19"
"SNORD116_20",2.12182709842143,0.00189066475578555,2.01518463802093,1.14072200077757e-08,"Higher in COVID-19"
"IL1B",3.31688175310264,0.000944221092403812,-2.08715502402829,1.23493800334968e-08,"Higher in COVID-19"
"NEXN",2.35526059747926,0.000778700559817375,-1.72174388374792,1.5276479544465e-08,"Higher in COVID-19"
"SNORA72",2.6182953326997,6.26914929335924e-05,1.62969970474629,1.6875587533283e-08,"Higher in COVID-19"
"DCLK2",4.83157425155533,9.73896779752844e-07,2.01103658656548,2.13929711168088e-08,"Higher in COVID-19"
"SNORD117",1.87701473609771,0.0325455437668844,2.42759526559212,2.718275131407e-08,"Higher in COVID-19"
"SNORD44",2.21503030913757,0.000422290939165079,1.8308770654074,2.8337957533028e-08,"Higher in COVID-19"
"AQP9",3.6774722895655,0.000296585812073648,-2.02439814540626,3.08567114786493e-08,"Higher in COVID-19"
"DANT2",-3.77476798384867,4.39936739968651e-09,1.93497189187293,3.2821884786021e-08,"Lower in COVID-19"
"RNU6_31P",2.12883518658869,0.00144629912722835,1.71449005229437,3.37821572241661e-08,"Higher in COVID-19"
"SNORA22",1.45577516107272,0.0479829667607183,1.85686222583035,4.36454270722067e-08,"Higher in COVID-19"
"FYB",2.60809013748255,2.05998893980565e-05,-1.26633766776932,4.57991849372173e-08,"Higher in COVID-19"
"NUCB2",1.30873721538949,0.00139620262676892,1.2846358545874,4.64928131820754e-08,"Higher in COVID-19"
"SNORD116_1",2.18067304681585,0.000698264573020749,1.88039468014222,4.99909012984222e-08,"Higher in COVID-19"
"SNORD22",1.56290265948231,0.00868506781401597,1.181544451292,5.94771329836853e-08,"Higher in COVID-19"
"GZMB",3.09574922725503,0.000744054542089923,-1.96267040506706,6.07371604966707e-08,"Higher in COVID-19"
"SCARNA3",1.42332605503023,0.00479269417221321,1.48376894465489,6.46903535650706e-08,"Higher in COVID-19"
"SSR4P1",2.87221999936516,7.22682138456417e-06,1.48618747432444,8.02823478103745e-08,"Higher in COVID-19"
"TNFAIP3",2.07482099499176,3.98559617367423e-05,-1.11104404543428,8.26408152943999e-08,"Higher in COVID-19"
"HELZ2",1.26580032860356,0.0238254160828066,-1.24271278757186,8.62099258814488e-08,"Higher in COVID-19"
"ADCK2",5.63401956473177,7.65646429550354e-11,1.74540804722703,9.3316432886196e-08,"Higher in COVID-19"
"SNORD116_22",1.83787003170534,0.0120500496190875,1.99241645533883,9.57746443344744e-08,"Higher in COVID-19"
"SNORA19",2.34487818365623,0.000944221092403812,1.82956134888586,9.73285818435101e-08,"Higher in COVID-19"
"CLEC4E",3.44489694988191,0.000923155802267251,-1.7185938097125,1.24078576545518e-07,"Higher in COVID-19"
"IL1R2",2.74212304685449,0.0285263462916937,-2.30676583312328,1.28806988139284e-07,"Higher in COVID-19"
"LCP2",2.69600848848786,6.30660940816675e-05,-1.39815146284013,1.61663398809749e-07,"Higher in COVID-19"
"PVRL3",2.08181532942765,0.00455619849086341,-1.97708818605501,2.18441448715394e-07,"Higher in COVID-19"
"NFKBIA",1.71852662597349,0.00408816188096272,-1.08950519120757,2.57082420887498e-07,"Higher in COVID-19"
"MRTO4",-2.08190703844469,0.000129346738202235,1.37448174142586,2.93007449404488e-07,"Lower in COVID-19"
"BATF2",1.76900603361837,0.00638176055999587,-1.56179680294345,3.17077276321076e-07,"Higher in COVID-19"
"FBXO36",1.47594967646971,0.00242633936561985,1.0844674659792,3.25569049909665e-07,"Higher in COVID-19"
"SNORA60",-1.15128721042996,0.00394769969005045,1.26349213818518,3.29231300056392e-07,"Lower in COVID-19"
"ATF3",2.00890197950853,3.90160437018633e-05,-1.12067490292518,3.32082461770125e-07,"Higher in COVID-19"
"MIR1246",2.40101796851082,0.000151669634043234,1.472400418014,3.48012735854123e-07,"Higher in COVID-19"
"LRRK2",2.16709407821646,0.00526102938115909,-1.51688636816761,3.78289391384381e-07,"Higher in COVID-19"
"JPH3",-1.28084145120378,0.0447745318695743,-2.23755998856673,3.84733912229578e-07,"Lower in COVID-19"
"TYMP",1.22100509384212,0.00197344790070147,-1.04443360525353,4.00319279714703e-07,"Higher in COVID-19"
"SERPINB3",1.22601278112292,0.00344536442454695,1.08972357525057,4.70483387626279e-07,"Higher in COVID-19"
"RUFY4",2.3664579978913,0.000241669910757615,-1.45789020131543,5.13140067901293e-07,"Higher in COVID-19"
"MILR1",2.36243257592606,0.0034098203973238,-1.66186795017858,6.81808481167079e-07,"Higher in COVID-19"
"SOD2",2.01853455391207,0.000994291571654625,-1.14526256436298,1.16859405026281e-06,"Higher in COVID-19"
"MYOCD",5.21299004289291,5.73289806882826e-05,-2.53793571246029,1.17679656054798e-06,"Higher in COVID-19"
"ANGPT1",1.86889246621752,0.0239711926420207,-1.81551764728885,1.26994257351183e-06,"Higher in COVID-19"
"COX8A",-1.4128851098286,0.0009322388157077,1.20244441682339,1.29199512154764e-06,"Lower in COVID-19"
"SNORD49A",2.07399576066679,0.0231870890444604,2.11273562975639,1.415533227638e-06,"Higher in COVID-19"
"EGR1",1.8439142623086,0.00782433782198184,-1.20916784613151,1.43281015849161e-06,"Higher in COVID-19"
"CASP5",3.13752010703852,0.0167769839252461,-2.02445878217094,1.72046246174911e-06,"Higher in COVID-19"
"CARD16",3.59284979506063,1.15618952029015e-06,-1.37011494916184,1.95467077808334e-06,"Higher in COVID-19"
"AIF1",1.46495671511727,0.0190750436773572,-1.15239435080853,2.11320795857786e-06,"Higher in COVID-19"
"NCAPH",-1.24507900857454,0.0482313084521802,-1.82502892965215,2.40714708069744e-06,"Lower in COVID-19"
"STATH",2.04053799675288,0.0280653749760567,-1.72420238730161,2.47215983576319e-06,"Higher in COVID-19"
"EFCAB10",1.21959031211814,0.0122123330750553,1.22482965382653,2.54085595106239e-06,"Higher in COVID-19"
"DDX58",3.20364030234356,1.34486738998544e-11,-1.22129731951049,2.61969292619014e-06,"Higher in COVID-19"
"MNDA",3.49343536476651,5.67000836674737e-05,-1.51911850696309,2.79997072454327e-06,"Higher in COVID-19"
"MSMB",1.56842465647178,0.00621615011969666,1.37098661642741,2.8023716051395e-06,"Higher in COVID-19"
"SNORA68",1.50970308170549,0.000115422501109276,1.04113079618509,3.51648522203122e-06,"Higher in COVID-19"
"RNU6_36P",2.82874748341945,0.000427615101108876,1.65913308069552,3.72746788651999e-06,"Higher in COVID-19"
"OASL",2.95029243232665,1.09147629952335e-05,-1.27017793369025,3.96145411308418e-06,"Higher in COVID-19"
"BUB1",1.94712273758778,0.00212890063880767,1.31341713172501,4.40116200561505e-06,"Higher in COVID-19"
"SNORA28",1.87640237398658,0.0143694287755422,1.72399601598906,4.79426003899388e-06,"Higher in COVID-19"
"SNORD116_21",2.19868472760902,0.00595254576459753,1.85092062111506,5.54883726284535e-06,"Higher in COVID-19"
"PIK3AP1",2.27826070872221,0.000498469577512406,-1.18268621826018,5.72614658890303e-06,"Higher in COVID-19"
"NOX4",6.14398104391049,2.29817023810585e-05,-2.89886738496659,5.73483315927688e-06,"Higher in COVID-19"
"SCARNA9",2.10609927973005,0.0014792141580137,1.47652687004339,6.79165453408333e-06,"Higher in COVID-19"
"USP18",2.65060274607711,1.23026266837672e-09,-1.04013270612385,7.09808140002469e-06,"Higher in COVID-19"
"RSAD2",5.33409008904523,1.09671915059441e-17,-1.17481997113069,7.41056547811e-06,"Higher in COVID-19"
"SMTNL1",2.55860558555091,0.00723187371403242,-1.65474636519517,7.96339537820998e-06,"Higher in COVID-19"
"GBP4",2.39946137971388,4.57600598488264e-06,-1.19522465186345,8.92628937175353e-06,"Higher in COVID-19"
"SNORA78",-1.35269809908112,0.0053361638862046,1.39668085030435,8.93756967341138e-06,"Lower in COVID-19"
"GGCX",1.38937390384146,0.0473017357832137,-1.45527386334283,9.38694411533251e-06,"Higher in COVID-19"
"SNX10",2.28343638864536,0.0127805713522337,-1.39077518516121,1.18911951458269e-05,"Higher in COVID-19"
"IL1RN",2.53934881090597,0.00160321458773868,-1.27337640900083,1.28327723363245e-05,"Higher in COVID-19"
"OLA1",1.08659818411398,0.0035193205846131,1.08246254962053,1.44062704103927e-05,"Higher in COVID-19"
"FGR",2.07346619568394,0.0251745455149123,-1.51117247486018,1.51282456375464e-05,"Higher in COVID-19"
"PLVAP",2.06939716959805,0.00615176767377199,-1.43685577901464,1.53999059988839e-05,"Higher in COVID-19"
"GBP7",2.17871299958969,0.0176351039119024,-1.6145265029752,1.66646045560052e-05,"Higher in COVID-19"
