"gene","covid_log2FC","covid_padj","covid_direction","virus_log2FC","virus_padj","virus_direction","shared_direction"
"SNORD53",-2.73491287341727,1.0746742315416e-06,"Down",-5.46728582579901,2.17830404091105e-07,"Down","Shared Down"
"C17orf50",-3.24813563540705,1.08473725735157e-06,"Down",-4.76342237781546,4.92549059167197e-05,"Down","Shared Down"
"CST3",-1.13655053732595,1.12132348290918e-06,"Down",-3.53569459241454,1.24320287667854e-07,"Down","Shared Down"
"ONECUT1",-3.13373948505722,1.21617864918776e-06,"Down",-6.42118551418989,4.30282594814935e-11,"Down","Shared Down"
"DEGS1",-2.31892295159679,1.32831859392111e-06,"Down",-4.62214443100322,3.27393093779151e-09,"Down","Shared Down"
"E2F6",-2.32395597449892,1.35037596845408e-06,"Down",-4.7911172287906,1.17439284673252e-07,"Down","Shared Down"
"ATP6V0A1",-1.71668488044888,1.40790517866192e-06,"Down",-3.87532174726953,1.39094325705195e-06,"Down","Shared Down"
"CCDC50",-1.40162010363791,1.50605487020704e-06,"Down",-3.22456854973343,3.92376013637592e-07,"Down","Shared Down"
"PYGB",-1.19182773132352,1.51750307749301e-06,"Down",-2.7262034233714,0.000655810288104304,"Down","Shared Down"
"ZKSCAN8",-1.44585904752149,1.5345720363149e-06,"Down",-4.24797879788214,1.86598498973956e-05,"Down","Shared Down"
"RSPRY1",-1.77809898570275,1.64562082896511e-06,"Down",-2.25077283128536,0.0104535179929524,"Down","Shared Down"
"ADAMTS8",-2.59774704509319,1.74480426484849e-06,"Down",-4.22708200834603,0.000526865508755663,"Down","Shared Down"
"SCARNA20",-2.63339270713975,1.74710601527856e-06,"Down",-5.57604699524249,2.53779297776708e-09,"Down","Shared Down"
"LMNA",-1.04655231288455,1.76144894572128e-06,"Down",-2.73881618825877,2.01105700548252e-06,"Down","Shared Down"
"SCUBE3",-2.03470610932488,1.9306330075702e-06,"Down",-4.61738548159986,2.43782800326758e-06,"Down","Shared Down"
"ROMO1",-1.36869181670261,1.9978289856382e-06,"Down",-4.12781559116279,1.14664256594028e-08,"Down","Shared Down"
"TOR4A",-1.90612451734011,1.9978289856382e-06,"Down",-3.88721179160033,1.75212602857966e-07,"Down","Shared Down"
"EMX1",-3.92214956452836,2.1128716380103e-06,"Down",-5.63516295531746,4.77751039219055e-06,"Down","Shared Down"
"TOMM22",-1.20712871219673,2.11779397071684e-06,"Down",-3.28924387612125,5.48532469739566e-07,"Down","Shared Down"
"ETFB",-1.19387727215433,2.36807708470444e-06,"Down",-3.43677784219872,2.54929005253735e-05,"Down","Shared Down"
"RNVU1_19",-2.93447316908908,2.40251356038913e-06,"Down",-5.25299082179314,5.27965211445155e-07,"Down","Shared Down"
"LINC00273",-3.05268414171529,2.50266074295921e-06,"Down",-5.22080662463944,3.56345856099791e-07,"Down","Shared Down"
"PACS2",-1.89644684574768,2.75112404874313e-06,"Down",-3.07344475413603,0.000124910662974508,"Down","Shared Down"
"AMH",-2.68673496407932,2.79620909964577e-06,"Down",-5.15899574471384,4.16315312925664e-06,"Down","Shared Down"
"PRSS36",-2.68262652616736,2.92387344486765e-06,"Down",-3.3637946189541,0.0017210576002942,"Down","Shared Down"
"CMTM3",-2.25861240352316,3.37374430589724e-06,"Down",-4.54171765916018,4.36052017987667e-06,"Down","Shared Down"
"SLC2A4RG",-1.28087388552494,3.8824364358022e-06,"Down",-3.09059118427068,0.000124214580303987,"Down","Shared Down"
