"gene","covid_log2FC","covid_padj","covid_direction","virus_log2FC","virus_padj","virus_direction","shared_direction"
"ARHGAP19",-1.88696166070732,2.63145196116087e-05,"Down",-4.27455538507931,1.03421734057913e-07,"Down","Shared Down"
"ACAD10",-1.42781922806534,2.96629255249203e-05,"Down",-2.34320001260693,0.0180460429576697,"Down","Shared Down"
"PITPNM2",-2.35880619583574,3.19597039736003e-05,"Down",-3.66512415966694,0.000140184091830249,"Down","Shared Down"
"SEC22A",-2.01825797280449,3.22965029615532e-05,"Down",-3.80048635183473,0.00107637383080545,"Down","Shared Down"
"TNFRSF19",-2.14064576964566,3.25769646606038e-05,"Down",-4.12874307651464,1.42735221117636e-06,"Down","Shared Down"
"C19orf70",-1.77092317351063,3.28509682116036e-05,"Down",-4.22428107558421,6.24669818414896e-08,"Down","Shared Down"
"DPP9_AS1",-2.19502775583019,3.40338187048776e-05,"Down",-4.03843772861732,7.44219284047913e-05,"Down","Shared Down"
"NUDT3",-1.409250769638,3.41139248157537e-05,"Down",-3.54712913959092,1.05129896086002e-06,"Down","Shared Down"
"CENPN",-1.91115133882841,3.48150685098664e-05,"Down",-3.50524018795313,0.000670835674813961,"Down","Shared Down"
"SCARF2",-1.75156431030754,3.51385115718022e-05,"Down",-4.21349984506431,1.22172087225676e-06,"Down","Shared Down"
"AP1AR",-1.25777849262129,3.66505100588951e-05,"Down",-3.30602886241178,0.000242366901850653,"Down","Shared Down"
"EGFL7",-2.93421444545393,3.68307877898456e-05,"Down",-4.41275470274416,0.000205301523896411,"Down","Shared Down"
"SNHG19",-2.99180684869684,3.68307877898456e-05,"Down",-5.07996817932863,2.51863220649873e-07,"Down","Shared Down"
"ALDOC",-2.48939432198367,3.79452605456994e-05,"Down",-4.32762088167734,0.000370151565199368,"Down","Shared Down"
"CYC1",-1.09527970383111,3.80919426408784e-05,"Down",-3.62051487554756,1.93948114140241e-06,"Down","Shared Down"
"VGF",-2.76860010259403,3.81444061311375e-05,"Down",-4.48880723089323,2.02925847550234e-06,"Down","Shared Down"
"ZNRF1",-1.61702799214531,3.89731997781397e-05,"Down",-3.04331671397168,0.00099213879907733,"Down","Shared Down"
"POLR2L",-1.22398496431163,4.02582743343309e-05,"Down",-3.70294868152519,1.01548487434812e-06,"Down","Shared Down"
"OTUD1",-1.3648091230789,4.09306054880945e-05,"Down",-3.36782011534037,1.54003124404507e-06,"Down","Shared Down"
