"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","direction","comparison"
"VARS2",24.0235156364514,-1.32888663235086,0.218736284732004,-6.07529123016336,1.23762899823843e-09,1.50127275693294e-07,"Down","COVID19_vs_Healthy"
"MCHR1",3.0173678162572,-3.50925306764266,0.577856172601732,-6.07288324332099,1.25633802907887e-09,1.51224442146355e-07,"Down","COVID19_vs_Healthy"
"ZRSR2",67.5337423649621,1.85307811885316,0.305687248079196,6.0620066113228,1.34433687261726e-09,1.60581552539808e-07,"Up","COVID19_vs_Healthy"
"BRD1",45.4235854873707,-0.93428602271134,0.154872804161905,-6.03260222327111,1.61340216987938e-09,1.91020802213122e-07,"Not significant","COVID19_vs_Healthy"
"FAM168B",31.2650640411719,-1.31089663983762,0.217382239828231,-6.03037599057518,1.63578652201932e-09,1.91020802213122e-07,"Down","COVID19_vs_Healthy"
"KBTBD6",9.45585627935176,-2.86479613894265,0.475040306970212,-6.03063802567451,1.63313617553384e-09,1.91020802213122e-07,"Down","COVID19_vs_Healthy"
"SMPD4",10.4707457453647,-1.80533650595043,0.299708828624521,-6.02363471985731,1.70543027724763e-09,1.97678318358303e-07,"Down","COVID19_vs_Healthy"
"PLEKHA2",945.444724618257,3.68951208408242,0.612905001360544,6.01971280360307,1.7472680677787e-09,2.01038608269125e-07,"Up","COVID19_vs_Healthy"
"CHMP5",48.1574114828214,1.5389893386956,0.256136030050055,6.00848439165253,1.8726564032291e-09,2.1389290071335e-07,"Up","COVID19_vs_Healthy"
"ACSM1",3.27494916153043,-2.80050187917357,0.467160612694672,-5.99473029847217,2.0382342739816e-09,2.31118042893218e-07,"Down","COVID19_vs_Healthy"
"EEF2",300.992511278086,-1.03406270801991,0.17261755714608,-5.99048396418229,2.09217504916156e-09,2.35527735030792e-07,"Down","COVID19_vs_Healthy"
"DNAJA1",193.394062834385,1.14603695081836,0.19163419892925,5.98033627203183,2.22677446347998e-09,2.48889762889534e-07,"Up","COVID19_vs_Healthy"
