"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"C11orf74",18.5332807087677,1.14448580777647,0.420063810013139,2.72455227157196,0.00643887371201428,0.0378353345270745
"C11orf84",6.00722582253185,-1.15078919532448,0.288340506072583,-3.99107711573066,6.57738870812416e-05,0.00122673395118864
"C12orf10",11.731176312166,-1.63595968364687,0.35455113833278,-4.61417129088827,3.94666844119146e-06,0.000129199723363523
"C12orf4",10.6062678725337,1.09240376527048,0.383576902144959,2.84793938102572,0.00440033053062993,0.0288222570712839
"C14orf37",6.50529280284164,1.48343337714843,0.455498382952456,3.25672589117242,0.00112705212776707,0.0109201930001852
"C15orf52",19.4905809354409,-1.46905866385608,0.375667521693509,-3.91052880279234,9.20942769720055e-05,0.00160121249561994
"C15orf59",3.09756741879318,-1.93899547296988,0.663343618436037,-2.92306343059641,0.00346605899609932,0.0245083105155726
"C15orf61",1.59423015296821,-3.26144326612993,0.556099857009803,-5.86485183374617,4.49533932321121e-09,4.68953798197394e-07
"C15orf65",2.38731683341517,1.77937522535763,0.665065556829629,2.67548846438525,0.00746204411361396,0.0420407161819998
"C16orf74",1.24465963829423,-1.7676626614545,0.567916265194799,-3.11254100258632,0.0018548424619547,0.0155711238437055
"C17orf50",6.14839486849997,-3.24813715593478,0.569467000543624,-5.70381980489484,1.17151923841709e-08,1.08472976584324e-06
"C17orf67",2.49782275596367,1.42562642204291,0.530001948471127,2.68985128480254,0.00714838671190149,0.0407921041163615
"C19orf66",51.6858691501824,1.57210610970288,0.392466302334388,4.00570979050176,6.18315269903701e-05,0.00116290833454965
"C19orf70",6.42545032111086,-1.7709237006614,0.357174430833262,-4.95814803016545,7.11683297561095e-07,3.28507971688378e-05
"C1D",5.96190737050964,1.15266033161683,0.419439962621879,2.74809373053454,0.00599428704218602,0.0359657222531161
"C1GALT1",18.7223294628478,1.24915465738814,0.337524922978444,3.70092568680601,0.000214814385319134,0.00305028629897805
"C1QBP",23.9094297658442,-1.35899891644715,0.254113476833304,-5.34800016662886,8.89313836693126e-08,5.8717227496093e-06
"C1QL3",10.0486642937464,2.02088138538342,0.751779192546898,2.68813157562531,0.00718530778341359,0.040935155666884
"C1orf106",32.1454043319103,-1.11720976569822,0.230458268106901,-4.84777471806735,1.24854068221765e-06,5.03535169983036e-05
"C1orf122",4.81320011910926,-1.35407841202641,0.390865807550682,-3.46430510387079,0.000531603195465519,0.00613008607416687
"C1orf131",6.45084058764045,1.12387754277652,0.314848957508149,3.56957682715982,0.000357558347716874,0.00454883985778345
"C1orf216",2.43534430026532,-1.59387854826474,0.488679815591685,-3.26160094485363,0.00110784980060667,0.0107607906144589
"C21orf2",13.4191450753172,-1.28011984874927,0.243668192481823,-5.25353693361011,1.49205738269325e-07,9.04950152107905e-06
"C21orf62",5.28791747078813,1.97056522759057,0.607644169489471,3.24295916349562,0.00118295165071689,0.0112322981980691
"C2CD2L",159.542411283313,2.5892637702314,0.530929283038465,4.87685244146499,1.07792007728265e-06,4.43876141297866e-05
